Logo;URL;website;heightpx;widthpx
inrae;https://upload.wikimedia.org/wikipedia/fr/thumb/2/2a/Logo-INRAE_Transparent.svg/2560px-Logo-INRAE_Transparent.svg.png;https://www.inrae.fr/;41;155
umtPrade;https://umtprade.fr/images/logo.svg;https://umtprade.fr/;86;155
ofb;https://upload.wikimedia.org/wikipedia/fr/a/a5/OFB_190702_PHILOGENIQUE_JG-02.jpg;https://www.ofb.gouv.fr/en;155;155
anr;https://anr.fr/fileadmin/_processed_/c/2/csm_ANR-blanc-sur-bleu_727e9b01cc.png;https://anr.fr/;80;155
ecophyto;https://ecophytopic.fr/themes/custom/ecophytopic_theme/logo.svg;https://ecophytopic.fr/;80;155
isa;https://institut-sophia-agrobiotech.paca.hub.inrae.fr/var/hub_internet_paca_institut_sophia_agrobiotech/storage/images/_aliases/inra_logo_principal/1/4/5/6/36541-18-fre-FR/2002d66dd081-logo_institutsophiaagrobiotech.png;https://www6.paca.inrae.fr/institut-sophia-agrobiotech/;113;155
gredeg;https://gredeg.univ-cotedazur.fr/uas/laboratoire-gredeg/LOGO/logo-gredeg.png;https://gredeg.univ-cotedazur.fr/;81;155
cbgp;https://umr-cbgp.fr/wp-content/uploads/2023/04/Logo-CBGP-baseline-FR.svg;https://www6.montpellier.inrae.fr/cbgp/;62;155
astredhor;https://www.astredhor.fr/image.htm?img=65796-Logo300.jpg;https://www.astredhor.fr/;60;155
chambrAgrPaca;https://paca.chambres-agriculture.fr/fileadmin/user_upload/Provence-Alpes-Cote_d_Azur/020_Inst_Paca/Interface/Logo_CA-PACA_mobile.jpg;https://paca.chambres-agriculture.fr/;55;155
bioline;https://www.biolineagrosciences.com/wp-content/themes/bioline/img/logo-bioline_172.png;https://biolineagrosciences.com/;54;155
crbe;https://crbe.cnrs.fr/wp-content/uploads/2024/01/cropped-Logo-CRBE-couleur-2048x782.png;https://crbe.cnrs.fr/en/;56;155
ensat;https://upload.wikimedia.org/wikipedia/fr/5/57/Logo_inp_ensat_2022.png;https://www.ensat.fr/en/index.html;65;155
TlseUniv;https://www.univ-toulouse.fr/sites/default/files/inline-images/logo_uftmp_horizontale.svg;https://www.univ-toulouse.fr/;80;155
cnrs;https://upload.wikimedia.org/wikipedia/fr/7/72/Logo_Centre_national_de_la_recherche_scientifique_%282023-%29.svg;https://www.cnrs.fr/;155;155
genotoul;https://www.genotoul.fr/wp-content/uploads/2017/01/Genotoul_logo-rvb_min.png;https://www.genotoul.fr/;44;155
AEAG;https://aides-territoires-prod.s3.fr-par.scw.cloud/aides-territoires-prod/backers/agence-de-leau-adour-garonne_logo.png;https://eau-grandsudouest.fr/;99;155
ec2co;https://programmes.insu.cnrs.fr/wp-content/uploads/2019/05/logo-768x322.png;https://programmes.insu.cnrs.fr/ec2co/;65;155
MESRI;https://www.enseignementsup-recherche.gouv.fr/sites/default/files/site_logo/2022-05/1_MESR_RVB.svg;https://www.enseignementsup-recherche.gouv.fr/en;155;155
FCUniv;https://upload.wikimedia.org/wikipedia/fr/7/77/Logo_Universit%C3%A9_de_Franche-Comt%C3%A9_2018.png;https://www.univ-fcomte.fr/;43;155
UBFC;https://upload.wikimedia.org/wikipedia/fr/4/49/Logo_UBFC.png;https://www.ubfc.fr/;72;155
BFC;https://www.bourgognefranchecomte.fr/themes/custom/bourg/logo.svg;https://www.bourgognefranchecomte.fr/;117;155
DRAAC;https://www.culture.gouv.fr/var/culture/storage/images/_aliases/reference/7/3/0/4/3164037-1-fre-FR/LogoMCHP.PNG;https://www.culture.gouv.fr/en/Regions/Drac-Bourgogne-Franche-Comte;119;155
chronoEnv;https://chrono-environnement.univ-fcomte.fr/wp-content/uploads/2023/10/logo-chrono-environnementpour-web.png;https://chrono-environnement.univ-fcomte.fr;43;155
PEA2T;https://chrono-environnement.univ-fcomte.fr/plateforme/PEA2t/?lang=en;https://chrono-environnement.univ-fcomte.fr/wp-content/uploads/2023/06/logos_PEAT-03.jpg;72;155
femto;https://www.femto-st.fr/sites/all/themes/femto/logo.png;https://www.femto-st.fr/fr;74;155
setac;https://www.setac.org/assets/img/logo.svg;https://www.setac.org;97.5;150
syngenta;https://www.syngenta.fr/sites/g/files/kgtney1611/files/color/syn_global_theme-75ea6ac3/logo.svg;https://www.syngenta.fr;65;200
GalwayUniv;https://upload.wikimedia.org/wikipedia/fr/c/ce/NUI%2C_Galway.png;https://www.universityofgalway.ie/;70;155
europeFlag;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/1280px-Flag_of_Europe.svg.png;;70;155
bidime;images/BidimeProjLogo.png;https://ecophytopic.fr/recherche-innovation/proteger/projet-bidime;148;155
sdu2e;https://www.univ-tlse3.fr/medias/photo/logo-ed-sdu2e_1578590506112-jpg?ID_FICHE=1136458588340;https://sdu2e.obs-mip.fr/;80;113
