Title;FileName;Extension;Data;Code;StatReport;Preprint;DOI
Encaged Chironomus riparius larvae in assessment of trace metal bioavailability and transfer in a landfill leachate collection pond;Gimbertetal2018-ENVIRON_SCI_POLLUT_R;.pdf;;;;;10.1007/s11356-016-8261-1
Stress responses in fish: From molecular to evolutionary processes;Petitjeanetal2019-SCI_TOTAL_ENVIRON;.pdf;;;;;10.1016/j.scitotenv.2019.05.357
Combined effects of temperature increase and immune challenge in two wild gudgeon populations;Petitjeanetal2020-FISH_PHYSIOL_BIOCHEM;.pdf;;;;;10.1007/s10695-019-00706-6
Direct and indirect effects of multiple environmental stressors on fish health in human-altered rivers;Petitjeanetal2020-SCI_TOTAL_ENVIRON;.pdf;;;;;10.1016/j.scitotenv.2020.140657
Effects of pollution on fish behavior, personality, and cognition: some research perspectives;https://www.frontiersin.org/articles/10.3389/fevo.2020.00086/pdf;;;;;;10.3389/fevo.2020.00086
Dose?and time?dependent effects of an immune challenge on fish across biological levels;Petitjeanetal2021-J_EXP_ZOOL_PART_A;.pdf;https://doi.org/10.6084/m9.figshare.13182665.v1;;;;10.1002/jez.2430
Origin, fate and ecotoxicity of manganese from legacy metallurgical wastes;Petitjeanetal2021-CHEMOSPHERE;.pdf;;;;;10.1016/j.chemosphere.2021.130337
Intraspecific variability of responses to combined metal contamination and immune challenge among wild fish populations;Petitjeanetal2021-ENVIRON_POLLUT;.pdf;;;;;10.1016/j.envpol.2020.116042
Variabilité de réponse aux stress multiples chez le goujon (Gobio occitaniae);https://tel.archives-ouvertes.fr/tel-03132551/document;;;;;;
Adaptive plastic responses to metal contamination in a multistress context: a field experiment in fish;Petitjeanetal2023-ENVIRON_SCI_POLLUT_R;.pdf;https://github.com/qpetitjean/Adaptive-plastic-responses-of-fish-in-a-multistress-context;https://github.com/qpetitjean/Adaptive-plastic-responses-of-fish-in-a-multistress-context;https://raw.githack.com/qpetitjean/Adaptive-plastic-responses-of-fish-in-a-multistress-context/main/Report/Rmarkdown-Adaptive_plastic_responses_of_fish_in_multistress_context.HTML;;10.1007/s11356-023-26189-w
MoveR: an R package for easy processing and analysis of animal video-tracking data;https://www.softxjournal.com/article/S2352-7110(24)00045-1/fulltext;;https://github.com/qpetitjean/MoveR_SampleData;https://www.softxjournal.com/cms/10.1016/j.softx.2024.101674/attachment/7eda8d7e-45c4-4cc2-8db8-1e013fcbca9b/mmc1.pdf;https://www.softxjournal.com/cms/10.1016/j.softx.2024.101674/attachment/7eda8d7e-45c4-4cc2-8db8-1e013fcbca9b/mmc1.pdf;https://www.biorxiv.org/content/10.1101/2023.11.08.566216v1;10.1016/j.softx.2024.101674
